date,tqqq_close_usd_split_adj,cnn_fear_greed
2024-08-15,34.2300,32.3714
2024-08-16,34.3200,33.7429
2024-08-19,35.6500,39.8857
2024-08-20,35.4300,44.6857
2024-08-21,35.9150,50.2286
2024-08-22,34.1900,46.7714
2024-08-23,35.2650,51.5714
2024-08-26,34.2300,52.9429
2024-08-27,34.5200,52.2857
2024-08-28,33.3500,51.0857
2024-08-29,33.1750,56.0571
2024-08-30,34.3050,60.3143
2024-09-03,31.1750,56.3429
2024-09-04,30.9100,56.6286
2024-09-05,31.0100,50.6286
2024-09-06,28.4950,39.3429
2024-09-09,29.5550,41.9714
2024-09-10,30.3500,39.6857
2024-09-11,32.2850,43.0857
2024-09-12,33.2400,42.9714
2024-09-13,33.6750,48.6286
2024-09-16,33.2250,50.3143
2024-09-17,33.2450,54.6286
2024-09-18,32.8100,55.1714
2024-09-19,35.2900,63.8000
2024-09-20,35.0650,61.2000
2024-09-23,35.3250,63.8571
2024-09-24,35.8250,66.4286
2024-09-25,35.8350,65.7429
2024-09-26,36.5950,70.7429
2024-09-27,35.9650,67.3143
2024-09-30,36.2450,73.6857
2024-10-01,34.7100,70.3143
2024-10-02,34.8400,70.5714
2024-10-03,34.7600,69.4286
2024-10-04,35.9850,71.4000
2024-10-07,34.8000,70.8286
2024-10-08,36.3100,71.1714
2024-10-09,37.1850,71.1429
2024-10-10,37.0550,70.2857
2024-10-11,37.1500,71.6571
2024-10-14,38.1000,74.2286
2024-10-15,36.5800,71.1429
2024-10-16,36.5600,69.0286
2024-10-17,36.6700,68.5714
2024-10-18,37.3200,72.4286
2024-10-21,37.5250,69.8000
2024-10-22,37.6350,70.3714
2024-10-23,35.8950,63.2000
2024-10-24,36.7500,62.9429
2024-10-25,37.3700,58.7429
2024-10-28,37.4050,60.8571
2024-10-29,38.4400,60.0571
2024-10-30,37.5850,57.2000
2024-10-31,34.7250,40.4571
2024-11-01,35.4650,50.4857
2024-11-04,35.1350,42.4286
2024-11-05,36.4700,43.5429
2024-11-06,39.4300,44.0000
2024-11-07,41.2750,59.0571
2024-11-08,41.3750,59.4286
2024-11-11,41.3000,66.6000
2024-11-12,41.0750,66.7143
2024-11-13,40.8950,66.3143
2024-11-14,40.0300,60.3143
2024-11-15,37.1350,51.2000
2024-11-18,37.8850,50.2857
2024-11-19,38.6450,49.5143
